Nível;Indicador;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;Ensino básico;;;;;;;;;;;;;;;
1.1;Matrículas;;;;;;;;;;;;;;;
1.1.1;Ensino infantil;53378;49485;43833;41505;57053;50102;55641;53930;62399;65661;69280;73224;69617;61953;matrículas
1.1.1.1;Creche;10926;11646;11414;12262;14350;13311;14795;16515;20177;22989;25445;28015;27646;23368;matrículas
1.1.1.1.1;Municipal;4154;3724;3883;3931;4567;4902;4900;5295;5857;7614;8705;8665;8660;7590;matrículas
1.1.1.1.2;Estadual;351;36;;;;;;;;;;;;;matrículas
1.1.1.1.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.1.1.4;Privado;6421;7886;7531;8331;9783;8409;9895;11220;14320;15375;16740;19350;18986;15778;matrículas
1.1.1.2;Pré-escolar;42452;37839;32419;29243;42703;36791;40846;37415;42222;42672;43835;45209;41971;38585;matrículas
1.1.1.2.1;Municipal;15241;14927;13629;12527;12788;13010;13243;13747;14621;15918;17106;17227;17303;18214;matrículas
1.1.1.2.2;Estadual;385;216;;2;;;;;;;;;;;matrículas
1.1.1.2.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.1.2.4;Privado;26826;22696;18790;16714;29915;23781;27603;23668;27601;26754;26729;27982;24668;20371;matrículas
1.1.2;Ensino fundamental;327187;321956;301472;286753;304467;281209;282242;270842;282438;280752;277124;274807;267034;261686;matrículas
1.1.2.1;1º ano;16731;18926;19861;19124;23760;21620;23264;23006;24609;25612;25783;26237;24848;;matrículas
1.1.2.1.1;Municipal;15254;15889;14801;14068;13104;12942;12928;12690;12513;12978;12468;12562;13287;14850;matrículas
1.1.2.1.2;Estadual;316;333;281;545;463;401;230;192;132;132;121;123;106;117;matrículas
1.1.2.1.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.1.4;Privado;1161;2704;4779;4511;10193;8277;10106;10124;11964;12502;13194;13552;11455;9427;matrículas
1.1.2.2;2º ano;34245;26231;23184;21845;26313;22996;24462;23953;26236;26896;26560;26514;24933;;matrículas
1.1.2.2.1;Municipal;22053;16164;15779;15140;14651;13520;13304;13617;13427;13738;13525;13355;13634;14864;matrículas
1.1.2.2.2;Estadual;4742;3034;893;682;688;593;437;259;265;153;144;137;144;106;matrículas
1.1.2.2.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.2.4;Privado;7450;7033;6512;6023;10974;8883;10721;10077;12544;13005;12891;13022;11155;9409;matrículas
1.1.2.3;3º ano;31107;39502;34611;32313;36626;32810;33147;31438;32651;32317;31675;30741;28036;;matrículas
1.1.2.3.1;Municipal;19670;28814;25842;25382;25142;23416;22152;20888;20276;19879;18604;17971;16625;15496;matrículas
1.1.2.3.2;Estadual;4477;3859;2573;1384;820;775;760;613;395;347;182;165;151;141;matrículas
1.1.2.3.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.3.4;Privado;6960;6829;6196;5547;10664;8619;10235;9937;11980;12091;12889;12605;11260;9776;matrículas
1.1.2.4;4º ano;37233;24465;28617;25567;28556;26679;26531;26243;28212;28630;29043;28261;27988;;matrículas
1.1.2.4.1;Municipal;24701;13078;18804;16733;16601;16689;15604;15869;15732;16187;16361;15533;16263;18064;matrículas
1.1.2.4.2;Estadual;5170;4408;3344;2965;1613;982;769;744;630;372;287;185;186;150;matrículas
1.1.2.4.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.4.4;Privado;7362;6979;6469;5869;10342;9008;10158;9630;11850;12071;12395;12543;11539;10765;matrículas
1.1.2.5;5º ano;36615;38774;29046;31749;33879;29948;30731;28910;30309;29939;29805;30277;28019;;matrículas
1.1.2.5.1;Municipal;23205;25641;17829;21483;20424;19542;19331;18353;17991;17651;17609;17611;16543;17324;matrículas
1.1.2.5.2;Estadual;6042;5917;4204;3867;3114;1493;1065;849;842;700;346;296;211;182;matrículas
1.1.2.5.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.2.5.4;Privado;7368;7216;7013;6399;10341;8913;10335;9708;11476;11588;11850;12370;11265;10843;matrículas
1.1.2.6;6º ano;55325;55886;52665;44762;46965;42968;42182;40361;41619;40255;38642;37331;36934;;matrículas
1.1.2.6.1;Municipal;5389;5028;5756;4195;5534;6662;6593;7033;6835;6877;6953;7868;8347;7648;matrículas
1.1.2.6.2;Estadual;41340;42247;38744;32816;31908;27353;25820;23389;24096;22894;20699;18168;17714;10679;matrículas
1.1.2.6.3;Federal;75;91;86;97;98;82;84;76;67;57;62;64;58;79;matrículas
1.1.2.6.4;Privado;8521;8520;8079;7654;9425;8871;9685;9863;10621;10427;10928;11231;10815;10270;matrículas
1.1.2.7;7º ano;43080;43467;42819;41930;38219;38937;37334;35280;36717;36419;35061;35466;34925;;matrículas
1.1.2.7.1;Municipal;3893;3316;3017;3440;3253;4556;4364;4691;4866;5149;5372;5864;6815;8085;matrículas
1.1.2.7.2;Estadual;31116;31793;31814;30844;26127;25445;23514;21504;21579;21471;20255;19573;18427;17960;matrículas
1.1.2.7.3;Federal;123;124;129;124;131;127;114;116;81;89;84;94;107;81;matrículas
1.1.2.7.4;Privado;7948;8234;7859;7522;8708;8809;9342;8969;10191;9710;9350;9935;9576;9525;matrículas
1.1.2.8;8º ano;39208;39433;37447;36569;37224;32942;34687;31452;31864;31256;31471;30800;31901;;matrículas
1.1.2.8.1;Municipal;3393;2901;2304;2232;2567;2942;3380;3275;3559;3588;3518;3657;4378;6689;matrículas
1.1.2.8.2;Estadual;28208;28383;26929;26757;25949;21579;22351;19432;19173;18570;19122;18172;18603;18594;matrículas
1.1.2.8.3;Federal;124;118;118;128;132;135;126;115;116;101;92;103;99;108;matrículas
1.1.2.8.4;Privado;7483;8031;8096;7452;8576;8286;8830;8630;9016;8997;8739;8868;8821;8712;matrículas
1.1.2.9;9º ano;33643;35272;33222;32894;32925;32309;29904;30199;30221;29428;29084;29180;29450;;matrículas
1.1.2.9.1;Municipal;2462;2187;2186;1706;1764;2459;2419;2498;2662;2775;2836;2756;3105;4299;matrículas
1.1.2.9.2;Estadual;23832;25794;23518;23666;23147;21579;18922;19041;18868;17753;17366;17717;17914;18750;matrículas
1.1.2.9.3;Federal;133;127;126;118;145;135;129;137;116;114;114;98;108;100;matrículas
1.1.2.9.4;Privado;7216;7164;7392;7404;7869;8136;8434;8523;8575;8786;8768;8609;8323;8593;matrículas
1.1.3;Ensino médio;129202;126063;111475;110757;107050;104043;99695;95303;96241;93991;95006;90375;92207;110421;matrículas
1.1.3.1;1º série;52551;52116;44606;44527;42817;40767;39775;38322;38976;37460;35140;35357;37128;34161;matrículas
1.1.3.1.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.1.2;Estadual;44888;44308;37355;37028;34776;32758;31386;29990;30681;29246;26638;26946;29367;25735;matrículas
1.1.3.1.3;Federal;574;759;327;758;765;699;771;792;955;1009;1511;984;940;1040;matrículas
1.1.3.1.4;Privado;7089;7049;6924;6741;7276;7310;7618;7540;7340;7205;6991;7427;6821;7386;matrículas
1.1.3.2;2º série;39975;37317;35083;34036;33407;32560;30803;29530;28926;29619;29386;27798;28454;32409;matrículas
1.1.3.2.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.2.2;Estadual;33169;30819;28655;27502;26512;25578;23499;22602;22070;22685;22566;21007;21577;25710;matrículas
1.1.3.2.3;Federal;425;519;419;553;564;575;540;533;503;661;616;666;682;685;matrículas
1.1.3.2.4;Privado;6381;5979;6009;5981;6331;6407;6764;6395;6353;6273;6204;6125;6195;6014;matrículas
1.1.3.3;3º série;35906;34193;30947;31002;29099;29382;27604;26154;26811;25251;26289;25291;24899;37942;matrículas
1.1.3.3.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.3.2;Estadual;29726;27835;24909;25164;23038;23308;21135;19904;20494;19119;20047;18964;18960;31539;matrículas
1.1.3.3.3;Federal;230;439;437;509;486;421;474;425;453;443;451;496;548;572;matrículas
1.1.3.3.4;Privado;5950;5919;5601;5329;5575;5653;5995;5825;5864;5689;5791;5831;5391;5831;matrículas
1.1.3.4;4º série;265;812;691;1192;1330;1252;1513;1297;1528;1614;1711;1929;1726;1372;matrículas
1.1.3.4.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.4.2;Estadual;221;643;468;757;975;949;1195;947;1233;1283;1412;1240;1261;1035;matrículas
1.1.3.4.3;Federal;;108;177;422;355;303;318;350;295;331;299;689;465;337;matrículas
1.1.3.4.4;Privado;44;61;46;13;;;;;;;;;;;matrículas
1.1.3.5;Não seriada;505;1625;148;;397;82;;;;47;2480;;;4537;matrículas
1.1.3.5.1;Municipal;;;;;;;;;;;;;;;matrículas
1.1.3.5.2;Estadual;505;1622;;;291;;;;;43;2480;;;4537;matrículas
1.1.3.5.3;Federal;;;;;;;;;;;;;;;matrículas
1.1.3.5.4;Privado;;3;148;;106;82;;;;4;;;;;matrículas
1.2;Docentes;;;;;;;;;;;;;;;
1.2.1;Ensino infantil;2649;2450;2275;2225;3184;2777;2951;2816;3604;3823;4162;4365;4098;3720;docentes
1.2.1.1;Creche;543;567;578;663;823;814;852;1037;1416;1608;1840;2000;1921;1611;docentes
1.2.1.1.1;Municipal;198;178;198;219;263;287;273;296;483;574;707;696;680;640;docentes
1.2.1.1.2;Estadual;12;1;;;;;;;;;;;;;docentes
1.2.1.1.3;Federal;;;;;;;;;;;;;;;docentes
1.2.1.1.4;Privado;333;390;381;444;560;527;579;741;934;1035;1133;1304;1242;972;docentes
1.2.1.2;Pré-escolar;2179;1950;1758;1641;2482;2105;2227;1981;2498;2549;2740;2853;2632;2546;docentes
1.2.1.2.1;Municipal;652;659;663;646;682;655;560;573;863;879;976;989;933;982;docentes
1.2.1.2.2;Estadual;23;13;;1;;;;;;;;;;;docentes
1.2.1.2.3;Federal;;;;;;;;;;;;;;;docentes
1.2.1.2.4;Privado;1508;1285;1096;996;1806;1452;1667;1409;1641;1673;1770;1871;1704;1569;docentes
1.2.2;Ensino fundamental;12687;12091;11825;11831;13467;12380;13106;12901;13875;13953;13908;13840;13064;13059;docentes
1.2.2.1;Anos iniciais;5409;5156;4880;4845;6187;5455;5886;5682;6788;6934;7128;7159;6691;6864;docentes
1.2.2.1.1;Municipal;3115;2976;2838;2888;2885;2729;2778;2776;3286;3245;3256;3084;2936;2981;docentes
1.2.2.1.2;Estadual;647;548;330;278;237;158;130;102;79;67;44;32;28;25;docentes
1.2.2.1.3;Federal;;;;;;;;;;;;;;;docentes
1.2.2.1.4;Privado;1707;1697;1753;1711;3122;2601;3019;2839;3476;3672;3883;4088;3780;3901;docentes
1.2.2.2;Anos finais;7879;7568;7503;7545;8031;7504;7893;7976;8042;8047;7843;7847;7428;7233;docentes
